title,classification,telephone,link web
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
Roasted,English Restaurants,07466 648737 ,https://www.yell.com/biz/roasted-london-9932325/
A Toca Restaurant,Portuguese Restaurants,020 3330 3566 ,https://www.yell.com/biz/a-toca-restaurant-london-3241082/
The Calabash Restaurant & Bar,African Restaurants,07881 805041 ,https://www.yell.com/biz/the-calabash-restaurant-and-bar-london-9978562/
Accra Palace Ltd,African Restaurants,020 3105 5416 ,https://www.yell.com/biz/accra-palace-ltd-london-9105078/
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,020 8741 8563 ,https://www.yell.com/biz/sagar-vegetarian-and-vegan-restaurant-london-3257973/
BVRGER Ltd,Vegetarian Restaurants,07876 805425 ,https://www.yell.com/biz/bvrger-ltd-london-10073252/
Nazmins Indian Restaurant Ltd,Indian Restaurants,020 8946 2219 ,https://www.yell.com/biz/nazmins-indian-restaurant-ltd-london-431471/
MAGA,African Restaurants,07804 132231 ,https://www.yell.com/biz/maga-london-901737682/
Jay Dees Catering,Caribbean Restaurants,020 7243 5969 ,https://www.yell.com/biz/jay-dees-catering-london-9499411/
Rae,Italian Restaurants,020 7473 2606 ,https://www.yell.com/biz/rae-london-901728250/
Pizza Time Thornton Heath,Pizza Delivery and Takeaway,020 3917 0055 ,https://www.yell.com/biz/pizza-time-thornton-heath-thornton-heath-10313541/
Vongs Kitchen,Chinese Takeaways,020 7511 1819 ,https://www.yell.com/biz/vongs-kitchen-london-901737543/
Paladar,Speciality Restaurants,020 7186 5555 ,https://www.yell.com/biz/paladar-london-9173117/
Caffe A-Roma,Italian Restaurants,020 3953 6849 ,https://www.yell.com/biz/caffe-a-roma-twickenham-8842866/
First Choice,Fast Food Restaurants,020 7267 5271 ,https://www.yell.com/biz/first-choice-london-10188146/
Daddy O's Suya Spot Ltd,African Restaurants,07833 253472 ,https://www.yell.com/biz/daddy-o-s-suya-spot-ltd-london-10323438/
Elachi Indian Restaurant,Indian Restaurants,01689 828800 ,https://www.yell.com/biz/elachi-indian-restaurant-orpington-6247769/
Chelsea Gourmet Oriental,Chinese Takeaways,020 7351 1714 ,https://www.yell.com/biz/chelsea-gourmet-oriental-london-9911774/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
Mezza Me,Lebanese Restaurants,020 7733 3098 ,https://www.yell.com/biz/mezza-me-london-10003249/
Brazilian Gourmet Ltd,Bistros,020 7018 0879 ,https://www.yell.com/biz/brazilian-gourmet-ltd-london-7805601/
Maureen's Pie & Mash Shop,English Restaurants,07956 381216 ,https://www.yell.com/biz/maureen-s-pie-and-mash-shop-london-6829371/
Terroirs,French Restaurants,020 7036 0660 ,https://www.yell.com/biz/terroirs-london-5963089/
Hazuki Japanese Restaurant,Japanese Restaurants,020 7240 2530 ,https://www.yell.com/biz/hazuki-japanese-restaurant-london-3357954/
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
Roasted,English Restaurants,07466 648737 ,https://www.yell.com/biz/roasted-london-9932325/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
The Calabash Restaurant & Bar,African Restaurants,07881 805041 ,https://www.yell.com/biz/the-calabash-restaurant-and-bar-london-9978562/
Accra Palace Ltd,African Restaurants,020 3105 5416 ,https://www.yell.com/biz/accra-palace-ltd-london-9105078/
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,020 8741 8563 ,https://www.yell.com/biz/sagar-vegetarian-and-vegan-restaurant-london-3257973/
BVRGER Ltd,Vegetarian Restaurants,07876 805425 ,https://www.yell.com/biz/bvrger-ltd-london-10073252/
Nazmins Indian Restaurant Ltd,Indian Restaurants,020 8946 2219 ,https://www.yell.com/biz/nazmins-indian-restaurant-ltd-london-431471/
MAGA,African Restaurants,07804 132231 ,https://www.yell.com/biz/maga-london-901737682/
Jay Dees Catering,Caribbean Restaurants,020 7243 5969 ,https://www.yell.com/biz/jay-dees-catering-london-9499411/
Rae,Italian Restaurants,020 7473 2606 ,https://www.yell.com/biz/rae-london-901728250/
Pizza Time Thornton Heath,Pizza Delivery and Takeaway,020 3917 0055 ,https://www.yell.com/biz/pizza-time-thornton-heath-thornton-heath-10313541/
Vongs Kitchen,Chinese Takeaways,020 7511 1819 ,https://www.yell.com/biz/vongs-kitchen-london-901737543/
Paladar,Speciality Restaurants,020 7186 5555 ,https://www.yell.com/biz/paladar-london-9173117/
Caffe A-Roma,Italian Restaurants,020 3953 6849 ,https://www.yell.com/biz/caffe-a-roma-twickenham-8842866/
First Choice,Fast Food Restaurants,020 7267 5271 ,https://www.yell.com/biz/first-choice-london-10188146/
Daddy O's Suya Spot Ltd,African Restaurants,07833 253472 ,https://www.yell.com/biz/daddy-o-s-suya-spot-ltd-london-10323438/
Elachi Indian Restaurant,Indian Restaurants,01689 828800 ,https://www.yell.com/biz/elachi-indian-restaurant-orpington-6247769/
Chelsea Gourmet Oriental,Chinese Takeaways,020 7351 1714 ,https://www.yell.com/biz/chelsea-gourmet-oriental-london-9911774/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
Mezza Me,Lebanese Restaurants,020 7733 3098 ,https://www.yell.com/biz/mezza-me-london-10003249/
Brazilian Gourmet Ltd,Bistros,020 7018 0879 ,https://www.yell.com/biz/brazilian-gourmet-ltd-london-7805601/
Maureen's Pie & Mash Shop,English Restaurants,07956 381216 ,https://www.yell.com/biz/maureen-s-pie-and-mash-shop-london-6829371/
Terroirs,French Restaurants,020 7036 0660 ,https://www.yell.com/biz/terroirs-london-5963089/
Hazuki Japanese Restaurant,Japanese Restaurants,020 7240 2530 ,https://www.yell.com/biz/hazuki-japanese-restaurant-london-3357954/
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
Roasted,English Restaurants,07466 648737 ,https://www.yell.com/biz/roasted-london-9932325/
A Toca Restaurant,Portuguese Restaurants,020 3330 3566 ,https://www.yell.com/biz/a-toca-restaurant-london-3241082/
The Calabash Restaurant & Bar,African Restaurants,07881 805041 ,https://www.yell.com/biz/the-calabash-restaurant-and-bar-london-9978562/
Accra Palace Ltd,African Restaurants,020 3105 5416 ,https://www.yell.com/biz/accra-palace-ltd-london-9105078/
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,020 8741 8563 ,https://www.yell.com/biz/sagar-vegetarian-and-vegan-restaurant-london-3257973/
BVRGER Ltd,Vegetarian Restaurants,07876 805425 ,https://www.yell.com/biz/bvrger-ltd-london-10073252/
Nazmins Indian Restaurant Ltd,Indian Restaurants,020 8946 2219 ,https://www.yell.com/biz/nazmins-indian-restaurant-ltd-london-431471/
MAGA,African Restaurants,07804 132231 ,https://www.yell.com/biz/maga-london-901737682/
Jay Dees Catering,Caribbean Restaurants,020 7243 5969 ,https://www.yell.com/biz/jay-dees-catering-london-9499411/
Rae,Italian Restaurants,020 7473 2606 ,https://www.yell.com/biz/rae-london-901728250/
Pizza Time Thornton Heath,Pizza Delivery and Takeaway,020 3917 0055 ,https://www.yell.com/biz/pizza-time-thornton-heath-thornton-heath-10313541/
Vongs Kitchen,Chinese Takeaways,020 7511 1819 ,https://www.yell.com/biz/vongs-kitchen-london-901737543/
Paladar,Speciality Restaurants,020 7186 5555 ,https://www.yell.com/biz/paladar-london-9173117/
Caffe A-Roma,Italian Restaurants,020 3953 6849 ,https://www.yell.com/biz/caffe-a-roma-twickenham-8842866/
First Choice,Fast Food Restaurants,020 7267 5271 ,https://www.yell.com/biz/first-choice-london-10188146/
Daddy O's Suya Spot Ltd,African Restaurants,07833 253472 ,https://www.yell.com/biz/daddy-o-s-suya-spot-ltd-london-10323438/
Elachi Indian Restaurant,Indian Restaurants,01689 828800 ,https://www.yell.com/biz/elachi-indian-restaurant-orpington-6247769/
Chelsea Gourmet Oriental,Chinese Takeaways,020 7351 1714 ,https://www.yell.com/biz/chelsea-gourmet-oriental-london-9911774/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
Mezza Me,Lebanese Restaurants,020 7733 3098 ,https://www.yell.com/biz/mezza-me-london-10003249/
Brazilian Gourmet Ltd,Bistros,020 7018 0879 ,https://www.yell.com/biz/brazilian-gourmet-ltd-london-7805601/
Maureen's Pie & Mash Shop,English Restaurants,07956 381216 ,https://www.yell.com/biz/maureen-s-pie-and-mash-shop-london-6829371/
Terroirs,French Restaurants,020 7036 0660 ,https://www.yell.com/biz/terroirs-london-5963089/
Hazuki Japanese Restaurant,Japanese Restaurants,020 7240 2530 ,https://www.yell.com/biz/hazuki-japanese-restaurant-london-3357954/
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
Roasted,English Restaurants,07466 648737 ,https://www.yell.com/biz/roasted-london-9932325/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
The Calabash Restaurant & Bar,African Restaurants,07881 805041 ,https://www.yell.com/biz/the-calabash-restaurant-and-bar-london-9978562/
Accra Palace Ltd,African Restaurants,020 3105 5416 ,https://www.yell.com/biz/accra-palace-ltd-london-9105078/
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,020 8741 8563 ,https://www.yell.com/biz/sagar-vegetarian-and-vegan-restaurant-london-3257973/
BVRGER Ltd,Vegetarian Restaurants,07876 805425 ,https://www.yell.com/biz/bvrger-ltd-london-10073252/
Nazmins Indian Restaurant Ltd,Indian Restaurants,020 8946 2219 ,https://www.yell.com/biz/nazmins-indian-restaurant-ltd-london-431471/
MAGA,African Restaurants,07804 132231 ,https://www.yell.com/biz/maga-london-901737682/
Jay Dees Catering,Caribbean Restaurants,020 7243 5969 ,https://www.yell.com/biz/jay-dees-catering-london-9499411/
Rae,Italian Restaurants,020 7473 2606 ,https://www.yell.com/biz/rae-london-901728250/
Pizza Time Thornton Heath,Pizza Delivery and Takeaway,020 3917 0055 ,https://www.yell.com/biz/pizza-time-thornton-heath-thornton-heath-10313541/
Vongs Kitchen,Chinese Takeaways,020 7511 1819 ,https://www.yell.com/biz/vongs-kitchen-london-901737543/
Paladar,Speciality Restaurants,020 7186 5555 ,https://www.yell.com/biz/paladar-london-9173117/
Caffe A-Roma,Italian Restaurants,020 3953 6849 ,https://www.yell.com/biz/caffe-a-roma-twickenham-8842866/
First Choice,Fast Food Restaurants,020 7267 5271 ,https://www.yell.com/biz/first-choice-london-10188146/
Daddy O's Suya Spot Ltd,African Restaurants,07833 253472 ,https://www.yell.com/biz/daddy-o-s-suya-spot-ltd-london-10323438/
Elachi Indian Restaurant,Indian Restaurants,01689 828800 ,https://www.yell.com/biz/elachi-indian-restaurant-orpington-6247769/
Chelsea Gourmet Oriental,Chinese Takeaways,020 7351 1714 ,https://www.yell.com/biz/chelsea-gourmet-oriental-london-9911774/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
Mezza Me,Lebanese Restaurants,020 7733 3098 ,https://www.yell.com/biz/mezza-me-london-10003249/
Brazilian Gourmet Ltd,Bistros,020 7018 0879 ,https://www.yell.com/biz/brazilian-gourmet-ltd-london-7805601/
Maureen's Pie & Mash Shop,English Restaurants,07956 381216 ,https://www.yell.com/biz/maureen-s-pie-and-mash-shop-london-6829371/
Terroirs,French Restaurants,020 7036 0660 ,https://www.yell.com/biz/terroirs-london-5963089/
Hazuki Japanese Restaurant,Japanese Restaurants,020 7240 2530 ,https://www.yell.com/biz/hazuki-japanese-restaurant-london-3357954/
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
Roasted,English Restaurants,07466 648737 ,https://www.yell.com/biz/roasted-london-9932325/
A Toca Restaurant,Portuguese Restaurants,020 3330 3566 ,https://www.yell.com/biz/a-toca-restaurant-london-3241082/
The Calabash Restaurant & Bar,African Restaurants,07881 805041 ,https://www.yell.com/biz/the-calabash-restaurant-and-bar-london-9978562/
Accra Palace Ltd,African Restaurants,020 3105 5416 ,https://www.yell.com/biz/accra-palace-ltd-london-9105078/
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,020 8741 8563 ,https://www.yell.com/biz/sagar-vegetarian-and-vegan-restaurant-london-3257973/
BVRGER Ltd,Vegetarian Restaurants,07876 805425 ,https://www.yell.com/biz/bvrger-ltd-london-10073252/
Nazmins Indian Restaurant Ltd,Indian Restaurants,020 8946 2219 ,https://www.yell.com/biz/nazmins-indian-restaurant-ltd-london-431471/
MAGA,African Restaurants,07804 132231 ,https://www.yell.com/biz/maga-london-901737682/
Jay Dees Catering,Caribbean Restaurants,020 7243 5969 ,https://www.yell.com/biz/jay-dees-catering-london-9499411/
Rae,Italian Restaurants,020 7473 2606 ,https://www.yell.com/biz/rae-london-901728250/
Pizza Time Thornton Heath,Pizza Delivery and Takeaway,020 3917 0055 ,https://www.yell.com/biz/pizza-time-thornton-heath-thornton-heath-10313541/
Vongs Kitchen,Chinese Takeaways,020 7511 1819 ,https://www.yell.com/biz/vongs-kitchen-london-901737543/
Paladar,Speciality Restaurants,020 7186 5555 ,https://www.yell.com/biz/paladar-london-9173117/
First Choice,Fast Food Restaurants,020 7267 5271 ,https://www.yell.com/biz/first-choice-london-10188146/
Daddy O's Suya Spot Ltd,African Restaurants,07833 253472 ,https://www.yell.com/biz/daddy-o-s-suya-spot-ltd-london-10323438/
Caffe A-Roma,Italian Restaurants,020 3953 6849 ,https://www.yell.com/biz/caffe-a-roma-twickenham-8842866/
Elachi Indian Restaurant,Indian Restaurants,01689 828800 ,https://www.yell.com/biz/elachi-indian-restaurant-orpington-6247769/
Chelsea Gourmet Oriental,Chinese Takeaways,020 7351 1714 ,https://www.yell.com/biz/chelsea-gourmet-oriental-london-9911774/
Finch Cafe/Restaurant,Middle Eastern Restaurants,07944 371211 ,https://www.yell.com/biz/finch-cafe-restaurant-london-9173818/
Mezza Me,Lebanese Restaurants,020 7733 3098 ,https://www.yell.com/biz/mezza-me-london-10003249/
Brazilian Gourmet Ltd,Bistros,020 7018 0879 ,https://www.yell.com/biz/brazilian-gourmet-ltd-london-7805601/
Maureen's Pie & Mash Shop,English Restaurants,07956 381216 ,https://www.yell.com/biz/maureen-s-pie-and-mash-shop-london-6829371/
Terroirs,French Restaurants,020 7036 0660 ,https://www.yell.com/biz/terroirs-london-5963089/
Hazuki Japanese Restaurant,Japanese Restaurants,020 7240 2530 ,https://www.yell.com/biz/hazuki-japanese-restaurant-london-3357954/
Coconut,Thai Restaurants,020 7928 2462 ,https://www.yell.com/biz/coconut-london-8167652/
